raw_intervention_name,normalized_key,canonical_intervention_name,is_placebo,occurrences
Semaglutide,semaglutide,Semaglutide,False,39
Tirzepatide,tirzepatide,Tirzepatide,False,29
Orforglipron,orforglipron,Orforglipron,False,16
liraglutide,liraglutide,liraglutide,False,12
Cagrilintide,cagrilintide,Cagrilintide,False,12
Retatrutide,retatrutide,Retatrutide,False,11
NNC0487-0111,nnc0487-0111,NNC0487-0111,False,10
Eloralintide,eloralintide,Eloralintide,False,8
Maridebart cafraglutide,maridebart cafraglutide,Maridebart cafraglutide,False,7
Maridebart Cafraglutide,maridebart cafraglutide,Maridebart cafraglutide,False,6
Mirikizumab,mirikizumab,Mirikizumab,False,4
Survodutide,survodutide,Survodutide,False,3
survodutide,survodutide,Survodutide,False,3
Bimagrumab,bimagrumab,Bimagrumab,False,3
Semaglutide 2.4 mg,semaglutide 2.4 mg,Semaglutide 2.4 mg,False,3
Liraglutide,liraglutide,liraglutide,False,3
Empagliflozin,empagliflozin,Empagliflozin,False,2
BI 10773,bi 10773,BI 10773,False,2
Macupatide,macupatide,Macupatide,False,2
LY3841136,ly3841136,LY3841136,False,2
LY3549492,ly3549492,LY3549492,False,2
Ixekizumab,ixekizumab,Ixekizumab,False,2
NNC0519-0130,nnc0519-0130,NNC0519-0130,False,2
NNC0662-0419,nnc0662-0419,NNC0662-0419,False,2
Semaglutide (administered by DV3396 pen),semaglutide (administered by dv3396 pen),Semaglutide (administered by DV3396 pen),False,2
Semaglutide (administered by PDS290 pen),semaglutide (administered by pds290 pen),Semaglutide (administered by PDS290 pen),False,2
Liraglutide 3.0 mg,liraglutide 3.0 mg,Liraglutide 3.0 mg,False,2
Zenagamtide,zenagamtide,Zenagamtide,False,2
Cagrisema,cagrisema,Cagrisema,False,2
BI 3034701,bi 3034701,BI 3034701,False,1
MICARDIS® (telmisartan),micardis (telmisartan),MICARDIS® (telmisartan),False,1
ramipril,ramipril,ramipril,False,1
BI 456906,bi 456906,BI 456906,False,1
Insulin Glargine,insulin glargine,Insulin Glargine,False,1
LY2189265,ly2189265,LY2189265,False,1
LY3457263,ly3457263,LY3457263,False,1
LY377604,ly377604,LY377604,False,1
Sibutramine,sibutramine,Sibutramine,False,1
Metoprolol,metoprolol,Metoprolol,False,1
Clazakizumab,clazakizumab,Clazakizumab,False,1
LY3437943,ly3437943,LY3437943,False,1
Mibavademab,mibavademab,Mibavademab,False,1
LY6249492,ly6249492,LY6249492,False,1
LY3502970,ly3502970,LY3502970,False,1
LY3305677,ly3305677,LY3305677,False,1
LY3532226,ly3532226,LY3532226,False,1
Mazdutide,mazdutide,Mazdutide,False,1
orlistat,orlistat,orlistat,False,1
CMS Intensive Behavior Therapy,cms intensive behavior therapy,CMS Intensive Behavior Therapy,False,1
NovoFine® needle 6 mm,novofine needle 6 mm,NovoFine® needle 6 mm,False,1
NovoFine® needle 12 mm,novofine needle 12 mm,NovoFine® needle 12 mm,False,1
zenagamtide,zenagamtide,Zenagamtide,False,1
